AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2019,ID_1,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_2,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_3,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_4,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_5,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_6,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_7,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_8,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_9,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_10,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_11,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_12,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_13,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_14,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_15,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_16,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_17,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_18,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_19,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_20,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_21,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_22,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_23,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_24,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_25,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_26,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_27,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_28,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_29,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_30,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_31,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_32,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_33,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_34,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_35,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_36,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_37,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_38,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_39,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_40,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_41,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_33,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_30,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_39,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_42,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_43,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_44,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_45,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_24,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_6,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_9,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_46,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_22,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_47,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_48,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_49,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_50,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_51,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_52,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_1,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_53,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_54,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_55,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_31,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_34,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_16,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_56,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_28,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_57,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_58,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_59,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_60,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_61,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_62,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_63,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_64,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_65,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_66,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_67,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_68,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_69,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_70,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_71,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_72,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_73,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_74,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_75,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_76,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_77,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_78,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_79,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_80,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_81,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_82,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_83,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_84,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_85,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_86,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_87,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_88,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_89,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_90,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_91,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_92,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_93,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_94,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_95,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_96,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_97,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_98,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_99,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_100,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_101,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_102,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_103,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_104,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_105,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_106,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_107,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_108,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_109,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_110,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_111,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_112,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_113,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_114,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_115,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_116,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_117,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_118,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_119,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_120,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_121,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_122,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_123,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_10,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_124,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_125,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_126,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_127,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_128,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_129,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_130,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_131,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_132,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_133,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_134,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_135,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_136,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_137,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_138,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_139,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_140,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_141,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_142,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
