persona,servicio,anio
Id_1,Serv_1,2019
Id_2,Serv_1,2019
Id_3,Serv_1,2019
Id_4,Serv_1,2019
Id_5,Serv_1,2019
Id_6,Serv_1,2019
Id_7,Serv_1,2019
Id_8,Serv_1,2019
Id_9,Serv_1,2019
Id_10,Serv_1,2019
Id_11,Serv_1,2019
Id_12,Serv_1,2019
Id_13,Serv_1,2019
Id_14,Serv_1,2019
Id_15,Serv_1,2019
Id_16,Serv_1,2019
Id_17,Serv_1,2019
Id_18,Serv_1,2019
Id_19,Serv_1,2019
Id_20,Serv_1,2019
Id_21,Serv_1,2019
Id_22,Serv_1,2019
Id_23,Serv_1,2019
Id_24,Serv_1,2019
Id_25,Serv_1,2019
Id_26,Serv_1,2019
Id_27,Serv_1,2019
Id_28,Serv_1,2019
Id_29,Serv_1,2019
Id_30,Serv_1,2019
Id_31,Serv_1,2019
Id_32,Serv_1,2019
Id_33,Serv_1,2019
Id_34,Serv_1,2019
Id_35,Serv_1,2019
Id_36,Serv_1,2019
Id_37,Serv_1,2019
Id_38,Serv_1,2019
Id_39,Serv_1,2019
Id_40,Serv_1,2019
Id_41,Serv_1,2019
Id_42,Serv_1,2019
Id_43,Serv_1,2019
Id_44,Serv_1,2019
Id_45,Serv_1,2019
Id_46,Serv_1,2019
Id_47,Serv_1,2019
Id_48,Serv_1,2019
Id_49,Serv_1,2019
Id_50,Serv_1,2019
Id_51,Serv_1,2019
Id_52,Serv_1,2019
Id_53,Serv_1,2019
Id_54,Serv_1,2019
Id_55,Serv_1,2019
Id_56,Serv_1,2019
Id_57,Serv_1,2019
Id_58,Serv_1,2019
Id_59,Serv_1,2019
Id_60,Serv_1,2019
Id_61,Serv_1,2019
Id_62,Serv_1,2019
Id_63,Serv_1,2019
Id_64,Serv_1,2019
Id_65,Serv_1,2019
Id_66,Serv_1,2019
Id_67,Serv_1,2019
Id_68,Serv_1,2019
Id_69,Serv_1,2019
Id_70,Serv_1,2019
Id_71,Serv_1,2019
Id_72,Serv_1,2019
Id_73,Serv_1,2019
Id_74,Serv_1,2019
Id_75,Serv_1,2019
Id_76,Serv_1,2019
Id_77,Serv_1,2019
Id_78,Serv_1,2019
Id_79,Serv_1,2019
Id_80,Serv_1,2019
Id_81,Serv_1,2019
Id_82,Serv_1,2019
Id_83,Serv_1,2019
Id_84,Serv_1,2019
Id_85,Serv_1,2019
Id_86,Serv_1,2019
Id_87,Serv_1,2019
Id_88,Serv_1,2019
Id_89,Serv_1,2019
Id_90,Serv_1,2019
Id_91,Serv_1,2019
Id_92,Serv_1,2019
Id_93,Serv_1,2019
Id_94,Serv_1,2019
Id_95,Serv_1,2019
Id_96,Serv_1,2019
Id_97,Serv_1,2019
Id_98,Serv_1,2019
Id_99,Serv_1,2019
Id_100,Serv_1,2019
Id_101,Serv_1,2019
Id_102,Serv_1,2019
Id_103,Serv_1,2019
Id_104,Serv_1,2019
Id_105,Serv_1,2019
Id_106,Serv_1,2019
Id_107,Serv_1,2019
Id_108,Serv_1,2019
Id_109,Serv_1,2019
Id_110,Serv_1,2019
Id_111,Serv_1,2019
Id_112,Serv_1,2019
Id_113,Serv_1,2019
Id_114,Serv_1,2019
Id_115,Serv_1,2019
Id_116,Serv_1,2019
Id_117,Serv_1,2019
Id_118,Serv_1,2019
Id_119,Serv_1,2019
Id_120,Serv_1,2019
Id_121,Serv_1,2019
Id_122,Serv_1,2019
Id_123,Serv_1,2019
Id_124,Serv_1,2019
Id_125,Serv_1,2019
Id_126,Serv_1,2019
Id_127,Serv_1,2019
Id_128,Serv_1,2019
Id_129,Serv_1,2019
Id_130,Serv_1,2019
Id_131,Serv_1,2019
Id_132,Serv_1,2019
Id_133,Serv_1,2019
Id_134,Serv_1,2019
Id_135,Serv_1,2019
Id_136,Serv_1,2019
Id_137,Serv_1,2019
Id_138,Serv_1,2019
Id_139,Serv_1,2019
Id_140,Serv_1,2019
Id_141,Serv_1,2019
Id_142,Serv_1,2019
Id_143,Serv_1,2019
Id_144,Serv_1,2019
Id_145,Serv_1,2019
Id_146,Serv_1,2019
Id_147,Serv_1,2019
Id_148,Serv_1,2019
Id_149,Serv_1,2019
Id_150,Serv_1,2019
Id_151,Serv_1,2019
Id_152,Serv_1,2019
Id_153,Serv_1,2019
Id_154,Serv_1,2019
Id_155,Serv_1,2019
Id_156,Serv_1,2019
Id_157,Serv_1,2019
Id_158,Serv_1,2019
Id_159,Serv_1,2019
Id_160,Serv_1,2019
Id_161,Serv_1,2019
Id_162,Serv_1,2019
Id_163,Serv_1,2019
Id_164,Serv_1,2019
Id_165,Serv_1,2019
Id_166,Serv_1,2019
Id_167,Serv_1,2019
Id_168,Serv_1,2019
Id_169,Serv_1,2019
Id_170,Serv_1,2019
Id_171,Serv_1,2019
Id_172,Serv_1,2019
Id_173,Serv_1,2019
Id_174,Serv_1,2019
Id_175,Serv_1,2019
Id_176,Serv_1,2019
Id_177,Serv_1,2019
Id_178,Serv_1,2019
Id_179,Serv_1,2019
Id_180,Serv_1,2019
Id_181,Serv_1,2019
Id_182,Serv_1,2019
Id_183,Serv_1,2019
Id_184,Serv_1,2019
Id_185,Serv_1,2019
Id_186,Serv_1,2019
Id_187,Serv_1,2019
Id_188,Serv_1,2019
Id_189,Serv_1,2019
Id_190,Serv_1,2019
Id_191,Serv_1,2019
Id_192,Serv_1,2019
Id_193,Serv_1,2019
Id_194,Serv_1,2019
Id_195,Serv_1,2019
Id_196,Serv_1,2019
Id_197,Serv_1,2019
Id_198,Serv_1,2019
Id_199,Serv_1,2019
Id_200,Serv_1,2019
Id_201,Serv_1,2019
Id_202,Serv_1,2019
Id_203,Serv_1,2019
Id_204,Serv_1,2019
Id_205,Serv_1,2019
Id_206,Serv_1,2019
Id_207,Serv_1,2019
Id_208,Serv_1,2019
Id_209,Serv_1,2019
Id_210,Serv_1,2019
Id_211,Serv_1,2019
Id_212,Serv_1,2019
Id_213,Serv_1,2019
Id_214,Serv_1,2019
Id_215,Serv_1,2019
Id_216,Serv_1,2019
Id_217,Serv_1,2019
Id_218,Serv_1,2019
Id_219,Serv_1,2019
Id_220,Serv_1,2019
Id_221,Serv_1,2019
Id_222,Serv_1,2019
Id_223,Serv_1,2019
Id_224,Serv_1,2019
Id_225,Serv_1,2019
Id_226,Serv_1,2019
Id_227,Serv_1,2019
Id_228,Serv_1,2019
Id_229,Serv_1,2019
Id_230,Serv_1,2019
Id_231,Serv_1,2019
Id_232,Serv_1,2019
Id_233,Serv_1,2019
Id_234,Serv_1,2019
Id_235,Serv_1,2019
Id_236,Serv_1,2019
Id_237,Serv_1,2019
Id_238,Serv_1,2019
Id_239,Serv_1,2019
Id_240,Serv_1,2019
Id_241,Serv_1,2019
Id_242,Serv_1,2019
Id_243,Serv_1,2019
Id_244,Serv_1,2019
Id_245,Serv_1,2019
Id_246,Serv_1,2019
Id_247,Serv_1,2019
Id_248,Serv_1,2019
Id_249,Serv_1,2019
Id_250,Serv_1,2019
Id_251,Serv_1,2019
Id_252,Serv_1,2019
Id_253,Serv_1,2019
Id_254,Serv_1,2019
Id_255,Serv_1,2019
Id_256,Serv_1,2019
Id_257,Serv_1,2019
Id_258,Serv_1,2019
Id_259,Serv_1,2019
Id_260,Serv_1,2019
Id_261,Serv_1,2019
Id_262,Serv_1,2019
Id_263,Serv_1,2019
Id_264,Serv_1,2019
Id_265,Serv_1,2019
Id_266,Serv_1,2019
Id_267,Serv_1,2019
Id_268,Serv_1,2019
Id_269,Serv_1,2019
Id_270,Serv_1,2019
Id_271,Serv_1,2019
Id_272,Serv_1,2019
Id_273,Serv_1,2019
Id_274,Serv_1,2019
Id_275,Serv_1,2019
Id_276,Serv_1,2019
Id_277,Serv_1,2019
Id_278,Serv_1,2019
Id_279,Serv_1,2019
Id_280,Serv_1,2019
Id_281,Serv_1,2019
Id_282,Serv_1,2019
Id_283,Serv_1,2019
Id_284,Serv_1,2019
Id_285,Serv_1,2019
Id_286,Serv_1,2019
Id_287,Serv_1,2019
Id_288,Serv_1,2019
Id_289,Serv_1,2019
Id_290,Serv_1,2019
